# Phase 206 (D-10/D-11): committed CC0 lichess puzzle set for Train's sharp
# filler. Rows are COPIED from fixtures/tagger/detector_fixture_{train,test}.csv
# and are APPEND-ONLY -- never delete a row, since an in-flight drill_solves row
# may reference its puzzle_id (D-10's no-repeat key). Generated once by
# scripts/gen_sharp_filler_set.py; every row cleared a real offline Stockfish
# MultiPV-5 sharpness check (D-13) before being committed here.
puzzle_id,fen,first_move_uci,solution_uci,ply,side_to_move,motif,rating,themes
5EDzd,r5kr/p1pp1q2/1p2bQ1p/8/8/4R3/PP3PPP/3R2K1 w - - 3 28,e8f7,e3g3,54,white,Deflection,1188,crushing deflection middlegame short
5JklE,8/8/5P2/4K3/8/5R2/p2k4/r7 b - - 0 82,f5f6,a1e1,163,black,Clearance,1116,advancedPawn clearance crushing endgame master promotion rookEndgame short
5K2BH,8/r1p5/2P2pk1/8/pR3KP1/P7/8/8 w - - 4 39,a8a7,b4b7,76,white,Interference,1101,crushing endgame interference rookEndgame short
5Q30C,5q2/6kp/4P1p1/p2p1pQ1/5P2/1r5P/6PK/4R3 w - - 0 38,b8b3,e6e7,74,white,Clearance,1248,advancedPawn clearance crushing endgame master short
5Upbo,3b4/6B1/p6p/1ppk2p1/4pPP1/2P1K2P/PP6/8 b - - 1 32,e5g7,g5f4,63,black,Attraction,1376,advantage attraction bishopEndgame endgame short
5Urz7,3r2k1/p4p1p/6p1/8/1q6/1PQ4P/P4PP1/2R3K1 b - - 0 22,c6c3,d8d1,43,black,Deflection,1004,advantage deflection endgame short
5aoJR,8/8/p3r3/1pK5/8/P3k1p1/1PP5/5R2 w - - 0 43,g4g3,f1e1,84,white,Skewer,1111,crushing endgame rookEndgame short skewer
5dWX0,r4r1k/bp1n2pB/p1pp4/4P1N1/PP1P2q1/4Bpp1/5P2/R2Q2KR b - - 3 31,h3g5,g3f2,61,black,Discovered check,1122,advancedPawn attraction crushing discoveredCheck doubleCheck kingsideAttack middlegame short
5fA9m,6k1/p1p2pp1/3R3p/8/3p4/3P1q1P/5PP1/6K1 w - - 0 30,b7f3,d6d8,58,white,Intermezzo,1137,crushing endgame intermezzo queenRookEndgame short
5j7IK,4r3/p7/1pp2k2/3b1ppp/8/3P2PP/PPPN1P2/4RK2 b - - 3 27,a1e1,d5g2,53,black,Deflection,1099,crushing deflection endgame short
5qT4n,8/8/8/2p4k/1pPp2n1/1P1P1Np1/4NpK1/8 b - - 5 76,c1e2,g4e3,151,black,Deflection,1333,advancedPawn crushing deflection endgame knightEndgame promotion short
5v6pv,8/1P6/4k3/2R1b3/2P3p1/1P6/3r3P/5K2 w - - 1 55,f5e6,c5e5,108,white,Attraction,1308,advancedPawn attraction crushing endgame promotion short
6Niiw,r1b1r1k1/4bpp1/p1pp1n1p/q7/Np1PPB2/7P/PPQ2PP1/RB2R1K1 b - - 3 18,d1c2,b4b3,35,black,Interference,1284,advantage interference middlegame short
6SEc8,r2q1r1k/1p1b1pbp/p2n2pB/2pN4/2Pn2N1/P2B4/1P2QPPP/R3R1K1 w - - 3 19,e6d4,h6g7,36,white,Attraction,1051,attraction crushing kingsideAttack middlegame short
6TLXP,8/p1p5/1p1kpp2/3p4/3P4/3NPPp1/PP2K1nr/5NR1 b - - 1 33,d2f1,g2f4,65,black,Deflection,1106,advantage deflection doubleCheck endgame short
6ZC5n,rq4rk/5p1p/pp2pP2/2ppP3/8/2P1Q2P/PP6/3R2RK w - - 3 28,f8b8,g1g8,54,white,Clearance,1146,clearance crushing endgame master short
6m2YH,4Rrk1/7p/2p2qp1/p2p2N1/1n1P3P/6P1/1P3P2/1QR3K1 b - - 0 26,e1e8,f6f2,51,black,Intermezzo,1298,crushing intermezzo middlegame short
6nlWA,6k1/5rb1/p1p4p/4p1p1/3R2P1/Pr4BP/2P1K3/6R1 w - - 0 29,b8b3,d4d8,56,white,Intermezzo,1239,advantage endgame intermezzo short
6uYVN,4r1k1/3q3p/8/1b3PP1/pNpBp3/P1P3Q1/1P6/6K1 w - - 1 44,g7d7,g5g6,86,white,Discovered check,1301,advancedPawn advantage discoveredCheck doubleCheck endgame master short
6xpgt,2k2r2/2p5/8/2P1P1P1/4Q3/8/5BP1/2q2nK1 w - - 1 39,a3c1,e4a8,76,white,Skewer,1073,advantage endgame master short skewer
79Jt1,2k1r2r/ppp5/2n2p2/3p4/3P4/2P1qbQ1/PP1NP2P/2KR1B1R b - - 0 18,g6g3,f3h1,35,black,Hanging piece,1388,advantage hangingPiece middlegame short
7OaD3,2r2rk1/2q1npbp/4p1p1/1B2P3/Q2n1P2/P6P/1PR3P1/5RK1 w - - 0 23,c6d4,c2c7,44,white,Intermezzo,1015,advantage intermezzo middlegame short
7QmJz,4r1k1/5p2/3p2p1/2pPbq1p/2N4P/P3B1P1/3Q2BK/8 b - - 6 30,e2d2,e5g3,59,black,Attraction,1103,advantage attraction middlegame sacrifice short
7VB8E,r4rk1/pb1qnpp1/1p2pn1p/1N1p4/1P1P4/P2BP3/3N1PPP/2RQ1RK1 w - - 4 19,d6d7,c1c7,36,white,Interference,1180,advantage interference middlegame short
7zTZ7,2r2k2/2p4R/1p4p1/p2P1p1p/2n5/7B/PP5P/K7 w - - 0 39,h6h5,h7h8,76,white,Skewer,1234,advantage endgame short skewer
8GKAQ,8/4Np1k/1p2p1p1/5P2/p1P1P3/Q3K3/P7/5q2 b - - 2 43,f3e3,f1h3,85,black,Skewer,1228,crushing endgame short skewer
8Z8Ve,3r1r2/pb3pk1/1qn2np1/4p3/B2p4/2P1N3/PP1QNPpP/1R2R1K1 w - - 0 25,d5d4,e3f5,48,white,Clearance,1384,advantage clearance master middlegame sacrifice short
900WY,3r1rk1/ppp2ppp/3bb3/4n2q/2P1P1n1/1QN2N1P/PP1BBPP1/R1R3K1 b - - 2 14,f1c1,e5f3,27,black,Clearance,1091,advantage clearance kingsideAttack middlegame short
937xE,3r1rk1/pp3qbp/2n3p1/2p1p3/4Pp2/1PP3PP/P1QB1P1K/R2R1B2 b - - 2 19,g2f1,f4g3,37,black,Clearance,1370,clearance crushing middlegame short
9FH6I,4rrk1/2pQ2pp/p7/1pnp1P2/8/1NP4P/PP3P2/R1B1R1K1 b - - 0 23,e7d7,e8e1,45,black,Hanging piece,1272,advantage hangingPiece intermezzo middlegame short
9HHmc,1K2B3/p1R1r3/k7/8/8/8/8/8 b - - 1 72,c8c7,e7e8,143,black,Hanging piece,1019,crushing endgame hangingPiece master short
AHoig,2k2b1r/ppp1q1p1/2n5/8/PP2N1b1/2PrPQP1/8/R3K2R w KQ - 1 19,h3g4,f3g4,36,white,Hanging piece,1180,advantage hangingPiece middlegame short
APsly,5r2/8/8/5k2/2K5/1R6/8/8 w - - 3 53,g5f5,b3f3,104,white,Skewer,1115,crushing endgame rookEndgame short skewer
AaKQD,1rbr2k1/4bppp/p3pn2/4B3/2B5/P3P2P/R1P2PP1/1N1QK2R b K - 0 19,d2b1,d8d1,37,black,Attraction,1071,advantage attraction intermezzo opening short
AwkRv,3r2k1/pq3p1p/6p1/Q1P1bb2/8/8/PP3PPP/4R1K1 w - - 0 31,f6e5,a5d8,60,white,Hanging piece,1135,crushing endgame hangingPiece intermezzo short
B0PC9,1r4k1/R4p2/6pp/3B4/pr6/1q4Pb/4PP1P/R2Q2K1 b - - 7 25,f3d5,b3d1,49,black,Clearance,1179,clearance crushing middlegame short
BI4pz,5kr1/1pp1q2n/p2p1n2/3PpP2/5PP1/1P5P/PP2Q2K/3RR3 b - - 0 28,f2f4,f6g4,55,black,Clearance,1385,clearance crushing middlegame sacrifice short
Bj30B,8/4Pkp1/3B1pbp/7B/1P2PP1P/6PK/r7/5r2 w - - 5 47,h7g6,h5g6,92,white,Attraction,1394,advancedPawn attraction crushing endgame master promotion short
C2MQt,5k2/3r1P2/p1b5/1p1pB1p1/P1pP4/2r5/6PP/5RK1 w - - 0 33,d8d7,e5g7,64,white,Attraction,1044,advancedPawn attraction crushing endgame promotion short
CRcJF,r1b2Bk1/ppp2p1p/5npb/4p1N1/2BnP3/2N4P/PPP2PP1/2KR3R b - - 0 13,c5f8,h6g5,25,black,Hanging piece,1247,advantage hangingPiece intermezzo middlegame short
CTHDT,r5k1/2r2pp1/p3pbq1/8/5B2/5Q2/P4PPP/4R1K1 w - - 0 22,c8c7,f3a8,42,white,Hanging piece,1108,crushing hangingPiece intermezzo middlegame short
CTZ4C,6r1/pp1k4/2p1R1p1/4np1p/2P4P/4P3/PP2B1P1/3K4 w - - 1 29,c7d7,e6e5,56,white,Hanging piece,1368,advantage endgame hangingPiece short
CUeVb,8/1P4p1/4kb2/1K6/1R4P1/5r2/7p/5R2 b - - 0 53,b6b7,f3f1,105,black,Hanging piece,1379,advancedPawn crushing endgame hangingPiece master promotion short
ClyOk,3Rr1k1/1P3pp1/pp2p1p1/8/4Q3/qP4P1/P3PP1P/2R3K1 b - - 0 25,d1d8,a3c1,49,black,Hanging piece,1114,advantage endgame hangingPiece intermezzo master short
D7ofm,r4rk1/p1B4p/2p2np1/8/3PR3/2P5/Pq4PP/R2Q2K1 b - - 0 19,f4c7,f6e4,37,black,Hanging piece,1117,crushing hangingPiece middlegame short
E0fga,3rk3/ppn1p3/4b1qr/3P3p/7P/PP3Q2/6P1/3R1RK1 w - - 0 30,f7e6,f3f8,58,white,Discovered check,1083,crushing discoveredCheck doubleCheck intermezzo master middlegame short
E2bIV,6k1/2pqb3/P2p2p1/1PpPp2p/2b1P1nP/2N5/5QK1/RR4N1 b - - 0 36,g3f2,g4f2,71,black,Attraction,1037,attraction capturingDefender crushing master middlegame short
EAMhw,6k1/6p1/4Rrp1/3p3n/3P2Q1/2q2N2/6PP/6K1 w - - 0 29,c7c3,e6e8,56,white,Clearance,1131,clearance crushing endgame master short
EVbvS,7k/pp1n2rp/2p5/8/1Pb1p3/P5R1/5P1P/3R2K1 w - - 0 40,d5c4,g3g7,78,white,Attraction,1065,advantage attraction capturingDefender endgame short
EhyzD,5rk1/pp3pbp/1q4p1/3N4/3n1B2/2P2R2/P2Q2PP/R5K1 b - - 1 18,c7d5,d4f3,35,black,Discovered check,1135,advantage discoveredCheck doubleCheck kingsideAttack middlegame short
F13yt,8/4r1k1/2PR1p2/4nB2/8/4K3/r5PP/2R5 b - - 4 32,f2e3,e5c4,63,black,Discovered check,1096,advantage discoveredCheck doubleCheck endgame short
FumDN,rn2qrk1/pbpp2p1/1p3n1p/2bN4/3pP3/PQ5N/1PPB1PPP/R3K2R w KQ - 4 13,d8e8,d5f6,24,white,Discovered check,1333,advantage discoveredCheck doubleCheck kingsideAttack middlegame short
GmLvo,8/2P5/3K4/7p/8/8/pkr2R2/8 w - - 3 59,c3c2,f2c2,116,white,Attraction,1020,advancedPawn attraction crushing endgame master promotion rookEndgame short
IMFTq,4r1k1/1p3pp1/p4n2/2pN3p/7q/P2P1Q2/BPP2PR1/4rRK1 b - - 0 24,c3d5,e1f1,47,black,Attraction,1040,attraction crushing kingsideAttack middlegame short
ITUi5,8/pp6/8/5B2/7P/P4k1N/2p2P1K/2n5 b - - 1 40,c8f5,c1d3,79,black,Clearance,1299,advancedPawn clearance crushing endgame promotion short
Id1Zw,rnbq1r2/1p2n1p1/p2p3k/3p2p1/2P1P2P/2N5/PP4P1/R2QK2R w KQ - 0 16,f6g5,h4g5,30,white,Discovered check,1330,attraction crushing discoveredCheck doubleCheck middlegame short
J5tYE,2r1k2r/pp1n1ppp/4p3/4Pb2/1q1p1P2/1P4P1/P1PQN1BP/R3K2R b KQk - 1 16,c3e2,b4d2,31,black,Attraction,1134,advantage attraction middlegame short
K3BFU,3rk3/ppp1bq1p/3p4/5nB1/8/2NP4/PPQ4P/4RKNR b - - 0 22,f2c2,f5e3,43,black,Discovered check,1066,advantage discoveredCheck doubleCheck middlegame short
KVDtm,8/pp6/2p5/P1P2Pp1/1P4P1/1r6/6r1/K2k1N1R w - - 0 49,h6g5,f1e3,96,white,Discovered check,1013,advantage discoveredCheck doubleCheck endgame master short
KWsr8,6k1/pp3rp1/1q2p2p/4R3/2pP4/P1P5/1P3QPP/4R1K1 b - - 0 27,d2f2,f7f2,53,black,Attraction,1188,advantage attraction capturingDefender endgame short
LR0jl,5qk1/p5p1/8/7Q/7b/3pP1r1/PP3R2/R1B2K2 b - - 2 26,h2f2,g3g1,51,black,Attraction,1235,attraction crushing master masterVsMaster middlegame short
LYDSj,7r/8/5kp1/5pp1/5PP1/4R1KP/8/8 b - - 0 51,f2f4,g5f4,101,black,Attraction,1170,attraction crushing endgame rookEndgame short
McaxN,3r2k1/ppp2p1p/2n2PpB/4p3/4r3/2P3P1/P1P4P/3R1RK1 w - - 3 23,f8d8,d1d8,44,white,Clearance,1035,clearance crushing endgame short
Mdlwf,6k1/pp3p1p/1qpp2p1/6P1/5Q2/1P6/P1P1NnP1/R5K1 b - - 0 28,d4e2,f2h3,55,black,Discovered check,1058,advantage discoveredCheck doubleCheck endgame short
OfNHY,r1b1k2r/ppppqppp/8/4n3/3Q4/2N5/PPP3PP/R1B1KB1R b KQkq - 1 11,e4c3,e5f3,21,black,Discovered check,1398,crushing discoveredCheck doubleCheck opening short
RExXB,2r3k1/p5p1/5pq1/7R/2bpN3/4bP2/P1Q1P3/5K1R b - - 4 41,g2f1,c4e2,81,black,Clearance,1066,clearance crushing master masterVsMaster middlegame sacrifice short
RyHfb,3r1Bk1/1p3p1p/pq2b1p1/4p3/PP1nP2P/2P5/5QP1/RN2K2R b KQ - 0 21,h6f8,d4c2,41,black,Clearance,1387,advantage clearance middlegame sacrifice short
SUKeC,r1bq1rk1/pppp2pp/2n2n2/2b1p3/1P2P3/2P4P/P1QN1PP1/R1B1KBNR b KQ - 0 8,b2b4,c5f2,15,black,Discovered check,1228,attackingF2F7 attraction crushing discoveredCheck doubleCheck opening short
SiPpr,r1b4k/pp2prb1/1Pnp2BB/8/2q5/2N4Q/2P2PPP/5RK1 w - - 0 20,d7d6,h6g7,38,white,Discovered check,1263,attraction crushing discoveredCheck doubleCheck kingsideAttack middlegame short
SnvlM,r4k1r/2qn1pp1/p2b1n2/3p4/P2N4/2QB1P1p/1PP2BP1/R3R2K b - - 2 22,b4c3,h3g2,43,black,Discovered check,1312,advancedPawn attraction crushing discoveredCheck doubleCheck kingsideAttack middlegame short
